child,testlanguage,age,narrative,complete,mode,test_lang_status,ling
ch2222or4,hrv,101,nar_3,0,telling,L1,Monolingual
ch2223or4,hrv,98,nar_1,0,telling,L1,Monolingual
ch2223or4,hrv,98,nar_2,0,telling,L1,Monolingual
ch2223or4,hrv,98,nar_3,0,telling,L1,Monolingual
ch2224or4,hrv,97,nar_1,0,telling,L1,Monolingual
ch2224or4,hrv,97,nar_2,0,telling,L1,Monolingual
ch2224or4,hrv,97,nar_3,0,telling,L1,Monolingual
ch2225or4,hrv,102,nar_1,0,telling,L1,Monolingual
ch2225or4,hrv,102,nar_2,1,telling,L1,Monolingual
ch2225or4,hrv,102,nar_3,0,telling,L1,Monolingual
ch2226or4,hrv,100,nar_1,0,telling,L1,Monolingual
ch2226or4,hrv,100,nar_2,0,telling,L1,Monolingual
ch2226or4,hrv,100,nar_3,0,telling,L1,Monolingual
ch2227or4,hrv,104,nar_1,0,telling,L1,Monolingual
ch2227or4,hrv,104,nar_2,0,telling,L1,Monolingual
ch2227or4,hrv,104,nar_3,0,telling,L1,Monolingual
ch2228or4,hrv,105,nar_1,0,telling,L1,Monolingual
ch2228or4,hrv,105,nar_2,0,telling,L1,Monolingual
ch2228or4,hrv,105,nar_3,0,telling,L1,Monolingual
ch2229or4,hrv,99,nar_1,0,telling,L1,Monolingual
ch2229or4,hrv,99,nar_2,0,telling,L1,Monolingual
ch2229or4,hrv,99,nar_3,0,telling,L1,Monolingual
ch2230or4,hrv,95,nar_1,1,telling,L1,Monolingual
ch2230or4,hrv,95,nar_2,1,telling,L1,Monolingual
ch2230or4,hrv,95,nar_3,0,telling,L1,Monolingual
ch2231or4,hrv,94,nar_1,0,telling,L1,Monolingual
ch2231or4,hrv,94,nar_2,1,telling,L1,Monolingual
ch2231or4,hrv,94,nar_3,0,telling,L1,Monolingual
ch2232or4,hrv,108,nar_1,1,telling,L1,Monolingual
ch2232or4,hrv,108,nar_2,0,telling,L1,Monolingual
ch2232or4,hrv,108,nar_3,0,telling,L1,Monolingual
ch2233or4,hrv,105,nar_1,1,telling,L1,Monolingual
ch2233or4,hrv,105,nar_2,1,telling,L1,Monolingual
ch2233or4,hrv,105,nar_3,0,telling,L1,Monolingual
ch2234or4,hrv,101,nar_1,0,telling,L1,Monolingual
ch2234or4,hrv,101,nar_2,0,telling,L1,Monolingual
ch2234or4,hrv,101,nar_3,0,telling,L1,Monolingual
ch2235or4,hrv,101,nar_1,0,telling,L1,Monolingual
ch2235or4,hrv,101,nar_2,1,telling,L1,Monolingual
ch2235or4,hrv,101,nar_3,0,telling,L1,Monolingual
ch2236or4,hrv,101,nar_1,0,telling,L1,Monolingual
ch2236or4,hrv,101,nar_2,0,telling,L1,Monolingual
ch2236or4,hrv,101,nar_3,0,telling,L1,Monolingual
ch2237or4,hrv,100,nar_1,0,telling,L1,Monolingual
ch2237or4,hrv,100,nar_2,0,telling,L1,Monolingual
ch2237or4,hrv,100,nar_3,0,telling,L1,Monolingual
